,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
30,Berwick Road,The Live One,Dave Hole,257279,spotify:track:746LkbPZg1F986O5d1qUbL,https://api.spotify.com/v1/tracks/746LkbPZg1F986O5d1qUbL,0.406,0.397,4,-10.387,1,0.0309,0.569,0.367,0.881,0.184,81.102,audio_features,746LkbPZg1F986O5d1qUbL,spotify:track:746LkbPZg1F986O5d1qUbL,https://api.spotify.com/v1/tracks/746LkbPZg1F986O5d1qUbL,https://api.spotify.com/v1/audio-analysis/746LkbPZg1F986O5d1qUbL,257280,4
31,Take Me To chicago,The Live One,Dave Hole,489906,spotify:track:02dm3rj6HMOt2Gc16J5bph,https://api.spotify.com/v1/tracks/02dm3rj6HMOt2Gc16J5bph,0.347,0.776,2,-6.091,1,0.0556,0.171,0.0275,0.937,0.471,139.634,audio_features,02dm3rj6HMOt2Gc16J5bph,spotify:track:02dm3rj6HMOt2Gc16J5bph,https://api.spotify.com/v1/tracks/02dm3rj6HMOt2Gc16J5bph,https://api.spotify.com/v1/audio-analysis/02dm3rj6HMOt2Gc16J5bph,489907,4
32,Give Me My Coat and Shoes,Country Blues 50,Buddy Guy,229333,spotify:track:6gumPIehje1LuPnP0oodcG,https://api.spotify.com/v1/tracks/6gumPIehje1LuPnP0oodcG,0.535,0.274,2,-7.741,1,0.144,0.762,0.000568,0.117,0.439,176.802,audio_features,6gumPIehje1LuPnP0oodcG,spotify:track:6gumPIehje1LuPnP0oodcG,https://api.spotify.com/v1/tracks/6gumPIehje1LuPnP0oodcG,https://api.spotify.com/v1/audio-analysis/6gumPIehje1LuPnP0oodcG,229333,3
33,Big Boat (Buddy and Junior's Thing),Blues Songs of Freedom,Buddy Guy & Junior Wells,313360,spotify:track:2srxRlwf9hljl8EGeVZnnx,https://api.spotify.com/v1/tracks/2srxRlwf9hljl8EGeVZnnx,0.83,0.146,9,-13.235,1,0.0521,0.839,7.01e-06,0.244,0.437,102.743,audio_features,2srxRlwf9hljl8EGeVZnnx,spotify:track:2srxRlwf9hljl8EGeVZnnx,https://api.spotify.com/v1/tracks/2srxRlwf9hljl8EGeVZnnx,https://api.spotify.com/v1/audio-analysis/2srxRlwf9hljl8EGeVZnnx,313360,4
34,Sweet Black Girl,Guitar Blues 101,Buddy Guy & Junior Wells,212240,spotify:track:2wqX6PQwKCdvBDG2UxdyXx,https://api.spotify.com/v1/tracks/2wqX6PQwKCdvBDG2UxdyXx,0.675,0.186,2,-13.793,1,0.0542,0.779,0.00589,0.0757,0.444,111.08,audio_features,2wqX6PQwKCdvBDG2UxdyXx,spotify:track:2wqX6PQwKCdvBDG2UxdyXx,https://api.spotify.com/v1/tracks/2wqX6PQwKCdvBDG2UxdyXx,https://api.spotify.com/v1/audio-analysis/2wqX6PQwKCdvBDG2UxdyXx,212240,3
35,Diggin' My Potatoes,Alone & Acoustic,Buddy Guy,268093,spotify:track:11VOUIyLBQdsi05WUW9rCG,https://api.spotify.com/v1/tracks/11VOUIyLBQdsi05WUW9rCG,0.81,0.141,9,-12.775,1,0.0549,0.757,0.00159,0.175,0.672,106.607,audio_features,11VOUIyLBQdsi05WUW9rCG,spotify:track:11VOUIyLBQdsi05WUW9rCG,https://api.spotify.com/v1/tracks/11VOUIyLBQdsi05WUW9rCG,https://api.spotify.com/v1/audio-analysis/11VOUIyLBQdsi05WUW9rCG,268093,4
36,High Heel Sneakers,Alone & Acoustic,Buddy Guy,296226,spotify:track:2vBTIPgUAMNYfaFIg2BD7i,https://api.spotify.com/v1/tracks/2vBTIPgUAMNYfaFIg2BD7i,0.809,0.124,0,-16.348,1,0.112,0.846,0.000137,0.0559,0.45,87.628,audio_features,2vBTIPgUAMNYfaFIg2BD7i,spotify:track:2vBTIPgUAMNYfaFIg2BD7i,https://api.spotify.com/v1/tracks/2vBTIPgUAMNYfaFIg2BD7i,https://api.spotify.com/v1/audio-analysis/2vBTIPgUAMNYfaFIg2BD7i,296227,4
37,Wrong Doing Woman,Blues Harmonica Magic,Buddy Guy & Junior Wells,179973,spotify:track:2pjdTqmYDb2ZF2p8TJJAs4,https://api.spotify.com/v1/tracks/2pjdTqmYDb2ZF2p8TJJAs4,0.791,0.145,2,-11.668,1,0.0369,0.737,3.63e-05,0.0499,0.43,71.373,audio_features,2pjdTqmYDb2ZF2p8TJJAs4,spotify:track:2pjdTqmYDb2ZF2p8TJJAs4,https://api.spotify.com/v1/tracks/2pjdTqmYDb2ZF2p8TJJAs4,https://api.spotify.com/v1/audio-analysis/2pjdTqmYDb2ZF2p8TJJAs4,179973,4
38,Cut You Loose,Bring 'Em In,Buddy Guy,458946,spotify:track:2pcRyxfhPdqk0wcW2VdEpF,https://api.spotify.com/v1/tracks/2pcRyxfhPdqk0wcW2VdEpF,0.389,0.69,9,-5.795,1,0.0401,0.396,0.0102,0.133,0.492,105.696,audio_features,2pcRyxfhPdqk0wcW2VdEpF,spotify:track:2pcRyxfhPdqk0wcW2VdEpF,https://api.spotify.com/v1/tracks/2pcRyxfhPdqk0wcW2VdEpF,https://api.spotify.com/v1/audio-analysis/2pcRyxfhPdqk0wcW2VdEpF,458947,3
39,Sally Mae,Alone & Acoustic,Buddy Guy,150626,spotify:track:5Z9HpuSMnE8nLG5XE8zFDw,https://api.spotify.com/v1/tracks/5Z9HpuSMnE8nLG5XE8zFDw,0.623,0.0606,9,-19.437,1,0.212,0.724,0.000829,0.15,0.38,76.034,audio_features,5Z9HpuSMnE8nLG5XE8zFDw,spotify:track:5Z9HpuSMnE8nLG5XE8zFDw,https://api.spotify.com/v1/tracks/5Z9HpuSMnE8nLG5XE8zFDw,https://api.spotify.com/v1/audio-analysis/5Z9HpuSMnE8nLG5XE8zFDw,150627,4
